PersonID	x	y	Time	Width	Distance		preName	CurrentName	input	
0	-0.8533614	-0.7181531	1.59967	2	14	19	20	AirTap	
0	0.8032381	0.3004849	1.499756	2	23	20	0	AirTap	
0	-0.4350746	-1.14936	2.399826	2	23	0	1	AirTap	
0	0.3540925	0.7120563	1.833191	2	23	1	2	AirTap	
0	0.1963236	0.6259897	1.635071	2	23	2	3	AirTap	
0	0.1789241	0.278124	1.798401	2	23	3	4	AirTap	
0	0.3667151	-0.3761593	1.333481	2	23	4	5	AirTap	
0	1.102702	-0.4008005	1.339722	2	23	5	6	AirTap	
0	0.3343764	-0.3994246	1.130875	2	23	6	7	AirTap	
0	-0.08363144	0.5307525	1.329453	2	23	7	8	AirTap	
0	0.3805876	-0.5152522	1.400803	2	23	8	9	AirTap	
0	0.01172777	1.124538	1.46666	2	23	9	10	AirTap	
0	0.4006529	-0.09260934	1.232498	2	23	10	11	AirTap	
0	-0.5071751	0.7481202	1.133347	2	23	11	12	AirTap	
0	0.440643	-0.3981292	1.1064	2	23	12	13	AirTap	
0	-0.1186025	-0.1953264	1.394699	2	23	13	14	AirTap	
0	1.236902	-0.7396465	1.698532	2	23	14	15	AirTap	
0	0.1271836	-0.1160439	1.101257	2	23	15	16	AirTap	
0	-0.0881531	0.07501881	1.200775	2	23	16	17	AirTap	
0	-1.036274	0.08278143	1.965408	2	23	17	18	AirTap	
0	0.7618254	-0.02001407	1.705002	2	23	18	19	AirTap	
0	-0.5045775	-0.03821012	1.595673	2	23	19	20	AirTap	
0	0.4667352	0.2427371	2.031769	2	29	20	0	AirTap	
0	-0.2575642	-0.2944463	1.835724	2	29	0	1	AirTap	
0	0.2558878	-0.1716834	1.467911	2	29	1	2	AirTap	
0	-0.7646843	-0.4260991	1.297134	2	29	2	3	AirTap	
0	0.166332	0.3982532	1.79924	2	29	3	4	AirTap	
0	0.05942798	-0.580363	1.834122	2	29	4	5	AirTap	
0	-0.382211	0.3030844	1.632996	2	29	5	6	AirTap	
0	-0.8125374	-0.4159467	1.499832	2	29	6	7	AirTap	
0	-0.196226	0.5449384	1.533966	2	29	7	8	AirTap	
0	-0.1266057	-0.546707	1.600174	2	29	8	9	AirTap	
0	-0.4410916	0.2108347	1.299103	2	29	9	10	AirTap	
0	0.6384211	-0.2751117	1.434387	2	29	10	11	AirTap	
0	-0.00189832	0.5460601	1.366806	2	29	11	12	AirTap	
0	0.1682015	0.2647874	1.666733	2	29	12	13	AirTap	
0	-0.3356547	0.2655844	1.332291	2	29	13	14	AirTap	
0	0.3317094	-0.9287195	2.600418	2	29	14	15	AirTap	
0	-0.01878895	1.38466	1.833313	2	29	15	16	AirTap	
0	0.5337698	-0.5043789	1.599319	2	29	16	17	AirTap	
0	-1.232293	1.058214	1.433548	2	29	17	18	AirTap	
0	0.6927764	-0.265484	1.666992	2	29	18	19	AirTap	
