PersonID	x	y	Time	Width	Distance		preName	CurrentName	input	
0	3.085746	-0.284849	1.698608	2	29	20	0	AirTap	
0	-0.6292575	0.05410513	1.901443	2	29	0	1	AirTap	
0	0.5511515	0.9221469	2.031921	2	29	1	2	AirTap	
0	-0.2304712	0.166041	1.634186	2	29	2	3	AirTap	
0	0.8422929	0.6876399	1.666565	2	29	3	4	AirTap	
0	-0.03461669	-0.6802334	1.566452	2	29	4	5	AirTap	
0	0.5061432	0.9263275	1.466461	2	29	5	6	AirTap	
0	0.7559569	0.05134236	1.267151	2	29	6	7	AirTap	
0	0.05164311	0.7574138	1.16626	2	29	7	8	AirTap	
0	0.2010981	-0.227165	1.300217	2	29	8	9	AirTap	
0	0.1083492	0.6390966	1.29953	2	29	9	10	AirTap	
0	1.068148	-1.843799	1.533966	2	29	10	11	AirTap	
0	0.110108	0.9622798	1.233185	2	29	11	12	AirTap	
0	0.7804563	-1.236256	1.267715	2	29	12	13	AirTap	
0	-0.161636	0.6060964	1.300079	2	29	13	14	AirTap	
0	0.1447957	-0.178852	1.498734	2	29	14	15	AirTap	
0	-0.09396663	0.8817281	1.233643	2	29	15	16	AirTap	
0	-0.4192908	-0.06794073	1.433075	2	29	16	17	AirTap	
0	-0.6649392	0.5188899	1.566635	2	29	17	18	AirTap	
0	-0.1869336	-0.638311	1.36702	2	29	18	19	AirTap	
0	-0.3076158	0.106292	1.432755	2	29	19	20	AirTap	
0	0.07068948	0.1582575	1.333984	2	17	20	0	AirTap	
0	-0.3271376	-0.01004146	1.100494	2	17	0	1	AirTap	
0	-0.3927418	0.4061772	0.9339447	2	17	1	2	AirTap	
0	-0.4002632	-0.04835549	1.03154	2	17	2	3	AirTap	
0	-0.4616031	0.002315711	0.9338989	2	17	3	4	AirTap	
0	-0.2386445	0.1987551	0.8664703	2	17	4	5	AirTap	
0	0.2370194	0.7638175	0.9996796	2	17	5	6	AirTap	
0	-0.6649146	-1.613252	1.000946	2	17	6	7	AirTap	
0	0.06005722	1.098857	1.200668	2	17	7	8	AirTap	
0	0.1527499	-0.2886256	1.234055	2	17	8	9	AirTap	
0	-0.3775364	-0.1328054	0.9645081	2	17	9	10	AirTap	
0	0.3778467	-0.09388614	0.9691772	2	17	10	11	AirTap	
0	0.04942405	-0.04718688	1.064453	2	17	11	12	AirTap	
0	0.1116583	0.2213163	1.03421	2	17	12	13	AirTap	
0	-1.041384	-0.006226599	0.9319153	2	17	13	14	AirTap	
0	-0.08705578	-0.0161881	0.93396	2	17	14	15	AirTap	
0	-0.6179894	-0.9025447	1.167358	2	17	15	16	AirTap	
0	0.01907446	0.1106584	1.132904	2	17	16	17	AirTap	
0	-0.5262579	-0.2299748	1.001678	2	17	17	18	AirTap	
0	0.08247054	0.4877803	0.9989929	2	17	18	19	AirTap	
0	-0.8306375	-0.4602544	1.067993	2	17	19	20	AirTap	
0	0.58381	0.8584117	1.697174	2	14	20	0	AirTap	
0	-2.308908	-0.4027106	1.267029	2	14	0	1	AirTap	
0	0.2697576	0.4156997	1.168182	2	14	1	2	AirTap	
0	-0.4995934	-0.5115516	1.201599	2	14	2	3	AirTap	
0	-0.003144901	0.3646207	1.030914	2	14	3	4	AirTap	
0	-0.03287274	-0.1845303	1.102081	2	14	4	5	AirTap	
0	-0.05402245	1.483865	1.065643	2	14	5	6	AirTap	
0	-0.2676328	-0.723416	1.200195	2	14	6	7	AirTap	
0	0.1254924	-0.3000647	0.934845	2	14	7	8	AirTap	
0	0.2007486	-0.5625452	1.096771	2	14	8	9	AirTap	
0	-0.7740579	-0.1494205	1.000671	2	14	9	10	AirTap	
0	0.5196228	-0.2155854	1.033752	2	14	10	11	AirTap	
0	-0.8231045	0.6180066	0.9659424	2	14	11	12	AirTap	
0	0.7563286	-0.1340469	0.9328003	2	14	12	13	AirTap	
0	-0.7509359	-0.3534943	0.9329224	2	14	13	14	AirTap	
0	0.1073401	0.376954	0.9694824	2	14	14	15	AirTap	
0	-1.614614	-0.4449499	1.066345	2	14	15	16	AirTap	
0	0.7233268	0.6187938	1.164246	2	14	16	17	AirTap	
0	-1.862626	-0.492645	1.033295	2	14	17	18	AirTap	
0	0.3345028	0.4899964	1.367157	2	14	18	19	AirTap	
0	-1.242158	-0.6265008	2.233521	2	14	19	20	AirTap	
